backend,workers,prefetch,rep,throughput_msgs_per_sec
dynamo,4,16,0,378.81
dynamo,4,16,1,382.41
dynamo,4,16,2,405.59
dynamo,4,16,3,405.67
dynamo,4,16,4,407.75
dynamo,4,64,0,407.64
dynamo,4,64,1,414.09
dynamo,4,64,2,401.59
dynamo,4,64,3,361.69
dynamo,4,64,4,340.04
dynamo,4,1,0,322.25
dynamo,4,1,1,403.64
dynamo,4,1,2,358.48
dynamo,4,1,3,375.13
dynamo,4,1,4,382.35
dynamo,8,64,0,578.81
dynamo,8,64,1,562.55
dynamo,8,64,2,578.75
dynamo,8,64,3,566.50
dynamo,8,64,4,554.76
dynamo,2,64,0,233.12
dynamo,2,64,1,222.08
dynamo,2,64,2,227.08
dynamo,2,64,3,227.77
dynamo,2,64,4,239.34
dynamo,16,1,0,475.51
dynamo,16,1,1,543.47
dynamo,16,1,2,543.48
dynamo,16,1,3,515.21
dynamo,16,1,4,547.00
dynamo,2,16,0,220.86
dynamo,2,16,1,212.08
dynamo,2,16,2,208.75
dynamo,2,16,3,199.89
dynamo,2,16,4,206.60
dynamo,1,16,0,89.36
dynamo,1,16,1,104.96
dynamo,1,16,2,114.06
dynamo,1,16,3,117.26
dynamo,1,16,4,113.93
dynamo,1,256,0,113.44
dynamo,1,256,1,121.90
dynamo,1,256,2,118.14
dynamo,1,256,3,105.93
dynamo,1,256,4,120.98
dynamo,8,1,0,519.06
dynamo,8,1,1,536.32
dynamo,8,1,2,536.45
dynamo,8,1,3,525.66
dynamo,8,1,4,539.86
dynamo,2,256,0,257.90
dynamo,2,256,1,250.62
dynamo,2,256,2,288.64
dynamo,2,256,3,262.91
dynamo,2,256,4,291.80
dynamo,1,1,0,165.92
dynamo,1,1,1,166.62
dynamo,1,1,2,155.30
dynamo,1,1,3,169.08
dynamo,1,1,4,165.58
dynamo,8,16,0,660.37
dynamo,8,16,1,707.06
dynamo,8,16,2,739.66
dynamo,8,16,3,713.37
dynamo,8,16,4,605.53
dynamo,16,16,0,719.87
dynamo,16,16,1,783.06
dynamo,16,16,2,585.54
dynamo,16,16,3,814.78
dynamo,16,16,4,815.20
dynamo,1,64,0,170.15
dynamo,1,64,1,145.40
dynamo,1,64,2,157.13
dynamo,1,64,3,169.80
dynamo,1,64,4,170.88
dynamo,4,256,0,519.01
dynamo,4,256,1,508.99
dynamo,4,256,2,487.34
dynamo,4,256,3,518.95
dynamo,4,256,4,522.35
dynamo,8,256,0,753.67
dynamo,8,256,1,739.83
dynamo,8,256,2,732.93
dynamo,8,256,3,682.83
dynamo,8,256,4,713.40
dynamo,16,256,0,775.26
dynamo,16,256,1,868.25
dynamo,16,256,2,868.04
dynamo,16,256,3,868.13
dynamo,16,256,4,918.25
dynamo,2,1,0,327.66
dynamo,2,1,1,326.31
dynamo,2,1,2,330.37
dynamo,2,1,3,324.97
dynamo,2,1,4,341.62
dynamo,16,64,0,868.13
dynamo,16,64,1,783.20
dynamo,16,64,2,849.51
dynamo,16,64,3,840.61
dynamo,16,64,4,858.96
