backend,workers,prefetch,rep,throughput_msgs_per_sec
postgres,2,1,0,377.23
postgres,2,1,1,341.78
postgres,2,1,2,346.22
postgres,2,1,3,353.88
postgres,2,1,4,368.54
postgres,8,64,0,743.63
postgres,8,64,1,757.91
postgres,8,64,2,772.29
postgres,8,64,3,707.52
postgres,8,64,4,736.71
postgres,8,16,0,750.75
postgres,8,16,1,723.49
postgres,8,16,2,723.46
postgres,8,16,3,754.25
postgres,8,16,4,726.73
postgres,4,16,0,507.64
postgres,4,16,1,519.27
postgres,4,16,2,555.29
postgres,4,16,3,551.41
postgres,4,16,4,540.28
postgres,8,256,0,776.16
postgres,8,256,1,807.40
postgres,8,256,2,807.58
postgres,8,256,3,787.67
postgres,8,256,4,811.53
postgres,4,1,0,531.27
postgres,4,1,1,545.81
postgres,4,1,2,551.45
postgres,4,1,3,499.79
postgres,4,1,4,490.62
postgres,16,256,0,729.73
postgres,16,256,1,626.71
postgres,16,256,2,1030.33
postgres,16,256,3,1004.82
postgres,16,256,4,1018.10
postgres,16,64,0,836.99
postgres,16,64,1,929.40
postgres,16,64,2,1158.07
postgres,16,64,3,999.12
postgres,16,64,4,992.91
postgres,16,1,0,686.31
postgres,16,1,1,713.83
postgres,16,1,2,707.56
postgres,16,1,3,638.56
postgres,16,1,4,674.72
postgres,2,16,0,122.29
postgres,2,16,1,287.64
postgres,2,16,2,293.98
postgres,2,16,3,311.20
postgres,2,16,4,311.76
postgres,1,256,0,165.25
postgres,1,256,1,165.42
postgres,1,256,2,171.63
postgres,1,256,3,163.23
postgres,1,256,4,165.43
postgres,1,16,0,181.78
postgres,1,16,1,169.63
postgres,1,16,2,170.72
postgres,1,16,3,178.93
postgres,1,16,4,186.21
postgres,1,64,0,176.95
postgres,1,64,1,178.33
postgres,1,64,2,179.94
postgres,1,64,3,176.75
postgres,1,64,4,177.54
postgres,1,1,0,181.17
postgres,1,1,1,183.24
postgres,1,1,2,184.50
postgres,1,1,3,183.44
postgres,1,1,4,181.36
postgres,4,64,0,473.14
postgres,4,64,1,467.51
postgres,4,64,2,475.90
postgres,4,64,3,478.57
postgres,4,64,4,466.24
postgres,2,64,0,284.61
postgres,2,64,1,291.35
postgres,2,64,2,280.12
postgres,2,64,3,291.37
postgres,2,64,4,297.83
postgres,2,256,0,321.81
postgres,2,256,1,319.81
postgres,2,256,2,326.41
postgres,2,256,3,329.07
postgres,2,256,4,299.54
postgres,4,256,0,450.45
postgres,4,256,1,447.93
postgres,4,256,2,451.74
postgres,4,256,3,471.70
postgres,4,256,4,471.68
postgres,16,16,0,951.24
postgres,16,16,1,956.82
postgres,16,16,2,923.84
postgres,16,16,3,968.95
postgres,16,16,4,918.44
postgres,8,1,0,551.31
postgres,8,1,1,540.19
postgres,8,1,2,543.90
postgres,8,1,3,571.04
postgres,8,1,4,557.89
